thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,0,Training - easy,0,1.1633403999985603,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,1,0.4477799000014784,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,2,0.3992048000000068,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,3,0.3493808999992325,up,0,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,4,0.6008093999989796,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,5,0.5689936000017042,down,0,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,6,0.532388899999205,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,7,0.5507462999994459,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,8,0.35089020000305027,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,9,0.45269940000071074,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,10,0.43379819999972824,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,11,0.53609890000007,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,12,0.4525553999992553,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,13,0.38404150000133086,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,14,0.7503638999987743,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,15,0.4519508000012138,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,16,0.3836611999977322,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,17,0.36599460000070394,up,1,90,up,0.8,,,,,,0,22,M,R,
,,0,Training - easy,18,0.33314859999882174,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - easy,19,0.31660899999769754,down,1,270,down,0.8,,,,,,0,22,M,R,
,,0,Training - hard,0,0.6683929999999236,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,1,0.46679389999917476,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,2,0.5003051999992749,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,3,1.352356499999587,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,4,0.6332609999990382,up,0,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,5,0.9838525999984995,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,6,nan,[],0,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,7,0.9024223999986134,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,8,0.8013860000028217,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,9,0.5343929999980901,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,10,0.4023901999971713,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,11,0.4346719999994093,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,12,0.535235700001067,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,13,0.41793130000223755,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,14,0.35143429999880027,down,0,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,15,0.4688266000011936,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,16,0.4184468999992532,down,1,270,down,0.4,,,,,,0,22,M,R,
,,0,Training - hard,17,0.36637490000066464,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,18,0.3669091000010667,up,1,90,up,0.4,,,,,,0,22,M,R,
,,0,Training - hard,19,0.34990790000301786,down,1,270,down,0.4,,,,,,0,22,M,R,
,,1,Training - scales,0,0.6889751000016986,down,1,270,down,0.6,control,0.8600000000000001,2.1182829000026686,,,0,22,M,R,
,,1,Training - scales,1,0.5510647999981302,down,1,270,down,0.8,control,0.9199999999999999,0.952942100000655,,,0,22,M,R,
,,1,Training - scales,2,0.7680708000007144,up,0,270,down,0.1,conf,0.020000000000000018,1.6202253000010387,,,0,22,M,R,
,,1,Training - scales,3,0.5009860999998637,up,1,90,up,0.9,control,-0.94,1.8529682999978832,,,0,22,M,R,
,,1,Training - scales,4,0.5342178999999305,up,1,90,up,1.0,control,0.96,0.9014081999994232,,,0,22,M,R,
,,1,Training - scales,5,0.5160930000020016,up,1,90,up,0.2,control,0.6000000000000001,1.1177162999993016,,,0,22,M,R,
,,1,Training - scales,6,0.5498976000017137,down,1,270,down,0.7000000000000001,conf,0.94,1.0364657999998599,,,0,22,M,R,
,,1,Training - scales,7,0.6008944999994128,down,1,270,down,0.5,conf,0.96,2.0866395000011835,,,0,22,M,R,
,,1,Training - scales,8,0.5008251999970526,up,1,90,up,0.4,conf,0.96,1.3846682000003057,,,0,22,M,R,
,,1,Training - scales,9,0.5177929999990738,up,1,90,up,0.30000000000000004,conf,0.8600000000000001,1.4358243000024231,,,0,22,M,R,
