block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,sub,age,gender,handedness,
0,Training - easy,0,1.0335292000090703,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,1,0.36653439997462556,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - easy,2,0.44920899998396635,up,1,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,3,0.34985080000478774,down,0,90,up,0.8,,,,0,30,Man,Right,
0,Training - easy,4,0.5002118999836966,down,1,270,down,0.8,,,,0,30,Man,Right,
0,Training - hard,0,0.43821250001201406,down,0,90,up,0.4,,,,0,30,Man,Right,
0,Training - hard,1,0.5325526999658905,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,2,0.3825586999882944,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,3,0.41607189999194816,down,1,270,down,0.4,,,,0,30,Man,Right,
0,Training - hard,4,0.534096299961675,up,1,90,up,0.4,,,,0,30,Man,Right,
1,Training - scales,0,0.6114305999944918,down,1,270,down,0.7,control,None,4.034002000000328,0,30,Man,Right,
