thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,sub,age,gender,handedness,
,,0,Training - easy,0,0.9488768999581225,down,1,270,down,0.8,0,30,Man,Right,
,,0,Training - easy,1,0.45111990004079416,down,1,270,down,0.8,0,30,Man,Right,
,,0,Training - easy,2,0.5165039999992587,up,1,90,up,0.8,0,30,Man,Right,
,,0,Training - easy,3,0.6829523000051267,down,1,270,down,0.8,0,30,Man,Right,
,,0,Training - easy,4,0.45081739994930103,up,1,90,up,0.8,0,30,Man,Right,
,,0,Training - hard,0,0.5527232000022195,up,1,90,up,0.4,0,30,Man,Right,
,,0,Training - hard,1,0.43438739998964593,down,1,270,down,0.4,0,30,Man,Right,
,,0,Training - hard,2,0.5331094999564812,up,1,90,up,0.4,0,30,Man,Right,
,,0,Training - hard,3,0.4504287999588996,down,1,270,down,0.4,0,30,Man,Right,
,,0,Training - hard,4,0.4331732999999076,down,1,270,down,0.4,0,30,Man,Right,
