thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,sub,age,gender,handedness,
,,0,Training - easy,0,0.5495917999651283,down,1,270,down,0.8,,,,0,30,Man,Right,
,,0,Training - easy,1,0.38321280002128333,down,1,270,down,0.8,,,,0,30,Man,Right,
,,0,Training - easy,2,0.36694079998414963,up,1,90,up,0.8,,,,0,30,Man,Right,
,,0,Training - easy,3,0.4500438999966718,down,1,270,down,0.8,,,,0,30,Man,Right,
,,0,Training - easy,4,0.43458319996716455,up,1,90,up,0.8,,,,0,30,Man,Right,
,,0,Training - hard,0,0.773105000029318,down,0,90,up,0.4,,,,0,30,Man,Right,
,,0,Training - hard,1,0.41728480003075674,up,0,270,down,0.4,,,,0,30,Man,Right,
,,0,Training - hard,2,0.36553900002036244,up,1,90,up,0.4,,,,0,30,Man,Right,
,,0,Training - hard,3,0.5672293999814428,down,1,270,down,0.4,,,,0,30,Man,Right,
,,0,Training - hard,4,0.4336506000254303,down,1,270,down,0.4,,,,0,30,Man,Right,
,,1,Training - scales,0,0.5092123999493197,down,1,270,down,0.7,control,0.28,2.0155325999949127,0,30,Man,Right,
,,1,Training - scales,1,nan,[],0,90,up,1.0,None,None,None,0,30,Man,Right,
,,1,Training - scales,2,0.5274819000042044,down,1,270,down,0.1,conf,0.81,1.1161571000120603,0,30,Man,Right,
,,1,Training - scales,3,0.9674650999950245,up,1,90,up,0.4,conf,0.17,1.2661878999788314,0,30,Man,Right,
