thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,sub,age,gender,handedness,
,,0,Training - easy,0,0.6042652000323869,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,1,0.3494491999736056,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,2,0.449945000000298,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,3,0.3855222000274807,down,1,270,down,0.8,,,,,,0,30,Man,Right,
,,0,Training - easy,4,0.44944440003018826,up,1,90,up,0.8,,,,,,0,30,Man,Right,
,,0,Training - hard,0,0.9200235000462271,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,1,0.5162546999636106,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,2,0.6504947999492288,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,3,0.45055750000756234,down,1,270,down,0.4,,,,,,0,30,Man,Right,
,,0,Training - hard,4,0.5006655000033788,up,1,90,up,0.4,,,,,,0,30,Man,Right,
,,1,Training - scales,0,0.5324639999889769,down,1,270,down,0.7,control,0.82,1.2492144999559969,,,0,30,Man,Right,
,,1,Training - scales,1,0.6505645000142977,up,1,90,up,1.0,conf,0.5,0.3335112000349909,,,0,30,Man,Right,
,,1,Training - scales,2,0.4321522999671288,up,1,90,up,0.4,conf,0.0,1.6160248999949545,,,0,30,Man,Right,
,,1,Training - scales,3,0.7332489999826066,up,0,270,down,0.1,control,None,4.0326572000049055,,,0,30,Man,Right,
,,2,Main,0,0.5264010999817401,up,1,90,up,0.5353061224489796,conf,0.85,0.8697784999967553,1.8892423669317167,1.691464365080242,0,30,Man,Right,
